,Time,VarName,VarValue,VarUnits,Site
70,0024-06-30,FATES_STOREN,0.028643814846873283,kg m-2,US-DUK
71,0024-06-30,FATES_VEGN,0.05567563697695732,kg m-2,US-DUK
72,0024-06-30,FATES_FROOTN,0.0019754355307668447,kg m-2,US-DUK
73,0024-06-30,FATES_STOREN_TF,2.0,1,US-DUK
74,0024-06-30,ACTUAL_IMMOB,7.759474556223722e-07,gN/m^2/s,US-DUK
75,0024-06-30,POTENTIAL_IMMOB,7.759474556223722e-07,gN/m^2/s,US-DUK
76,0026-06-30,FATES_FROOTC,0.00164619623683393,kg m-2,US-DUK
77,0026-06-30,Calc_N_Demand,3.29239247366786e-09,kg m-2 s-1,US-DUK
78,0026-06-30,FATES_NDEMAND,3.292392580789283e-09,kg m-2 s-1,US-DUK
79,0026-06-30,FATES_NH4UPTAKE,5.320067719694066e-10,kg m-2 s-1,US-DUK
80,0026-06-30,FATES_NO3UPTAKE,1.4788688394544447e-13,kg m-2 s-1,US-DUK
81,0026-06-30,NFIX_TO_SMINN,1.3245731178557207e-09,gN/m^2/s,US-DUK
82,0026-06-30,FATES_NEFFLUX,1.2945947092113386e-10,kg m-2 s-1,US-DUK
83,0026-06-30,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-DUK
84,0026-06-30,SMINN,0.003319813869893551,gN/m^2,US-DUK
85,0026-06-30,SMINN_TO_PLANT,5.427618248177168e-07,gN/m^2/s,US-DUK
86,0026-06-30,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-DUK
87,0026-06-30,SMIN_NO3_LEACHED,3.410397744101675e-15,gN/m^2/s,US-DUK
88,0026-06-30,SMIN_NO3_RUNOFF,2.149315881522229e-13,gN/m^2/s,US-DUK
89,0026-06-30,FATES_STOREN,0.02864290401339531,kg m-2,US-DUK
90,0026-06-30,FATES_VEGN,0.05785558372735977,kg m-2,US-DUK
91,0026-06-30,FATES_FROOTN,3.950871177949011e-05,kg m-2,US-DUK
92,0026-06-30,FATES_STOREN_TF,1.9999364614486694,1,US-DUK
93,0026-06-30,ACTUAL_IMMOB,3.784159332553827e-07,gN/m^2/s,US-DUK
94,0026-06-30,POTENTIAL_IMMOB,1.9755641460506013e-06,gN/m^2/s,US-DUK
95,0096-06-30,FATES_FROOTC,0.02425401285290718,kg m-2,US-DUK
96,0096-06-30,Calc_N_Demand,4.850802570581436e-08,kg m-2 s-1,US-DUK
97,0096-06-30,FATES_NDEMAND,4.8504645633329346e-08,kg m-2 s-1,US-DUK
