,Time,VarName,VarValue,VarUnits,Site
76,0126-12-31,FATES_FROOTN,0.168166846036911,kg m-2,US-DUK
77,0126-12-31,FATES_STOREN_TF,364.93194580078125,1,US-DUK
78,0126-12-31,ACTUAL_IMMOB,0.00010424291394883767,gN/m^2/s,US-DUK
79,0126-12-31,POTENTIAL_IMMOB,0.040514033287763596,gN/m^2/s,US-DUK
80,0226-12-31,FATES_FROOTC,16.594934463500977,kg m-2,US-DUK
81,0226-12-31,Calc_N_Demand,3.318986892700195e-05,kg m-2 s-1,US-DUK
82,0226-12-31,FATES_NDEMAND,3.318973904242739e-05,kg m-2 s-1,US-DUK
83,0226-12-31,FATES_NH4UPTAKE,4.472035897151727e-08,kg m-2 s-1,US-DUK
84,0226-12-31,FATES_NO3UPTAKE,9.905253429542266e-14,kg m-2 s-1,US-DUK
85,0226-12-31,FATES_NEFFLUX,2.2410455966329296e-32,kg m-2 s-1,US-DUK
86,0226-12-31,SUPPLEMENT_TO_SMINN,0.0,gN/m^2/s,US-DUK
87,0226-12-31,SMINN,0.812843918800354,gN/m^2,US-DUK
88,0226-12-31,SMINN_TO_PLANT,4.4722539314534515e-05,gN/m^2/s,US-DUK
89,0226-12-31,FATES_NFIX_SYM,0.0,kg m-2 s-1,US-DUK
90,0226-12-31,FATES_STOREN,5.239055633544922,kg m-2,US-DUK
91,0226-12-31,FATES_VEGN,22.493743896484375,kg m-2,US-DUK
92,0226-12-31,FATES_FROOTN,0.39827844500541687,kg m-2,US-DUK
93,0226-12-31,FATES_STOREN_TF,365.0,1,US-DUK
94,0226-12-31,ACTUAL_IMMOB,0.00018106665811501443,gN/m^2/s,US-DUK
95,0226-12-31,POTENTIAL_IMMOB,0.10967719554901123,gN/m^2/s,US-DUK
