fates_allom_d2bl1,fates_maintresp_leaf_ryan1991_baserate,fates_maintresp_nonleaf_baserate,fates_cnp_store_ovrflw_frac,fates_cnp_vmax_nh4,fates_cnp_vmax_no3,fates_cnp_vmax_p
0.030741482965931863,1.1783567134268536e-07,1.1783567134268536e-07,0.02004008016032064,1.013725393733874e-09,1.013725393733874e-09,1.013725393733874e-10
0.03148296593186373,1.3567134268537072e-07,1.3567134268537072e-07,0.04008016032064128,1.0276391739009046e-09,1.0276391739009046e-09,1.0276391739009046e-10
0.03222444889779559,1.5350701402805608e-07,1.5350701402805608e-07,0.06012024048096192,1.0417439261790504e-09,1.0417439261790504e-09,1.0417439261790504e-10
0.032965931863727455,1.7134268537074145e-07,1.7134268537074145e-07,0.08016032064128256,1.0560422717357328e-09,1.0560422717357328e-09,1.0560422717357329e-10
0.03370741482965932,1.891783567134268e-07,1.891783567134268e-07,0.1002004008016032,1.0705368677149237e-09,1.0705368677149237e-09,1.0705368677149237e-10
0.03444889779559118,2.0701402805611217e-07,2.0701402805611217e-07,0.12024048096192383,1.0852304077309461e-09,1.0852304077309461e-09,1.0852304077309461e-10
0.035190380761523046,2.2484969939879754e-07,2.2484969939879754e-07,0.14028056112224446,1.100125622369029e-09,1.100125622369029e-09,1.1001256223690291e-10
0.03593186372745491,2.426853707414829e-07,2.426853707414829e-07,0.1603206412825651,1.1152252796927704e-09,1.1152252796927704e-09,1.1152252796927704e-10
0.036673346693386774,2.6052104208416826e-07,2.6052104208416826e-07,0.18036072144288573,1.130532185758527e-09,1.130532185758527e-09,1.130532185758527e-10
0.03741482965931864,2.783567134268536e-07,2.783567134268536e-07,0.20040080160320636,1.1460491851368872e-09,1.1460491851368872e-09,1.1460491851368872e-10
0.0381563126252505,2.96192384769539e-07,2.96192384769539e-07,0.220440881763527,1.16177916144128e-09,1.16177916144128e-09,1.16177916144128e-10
0.038897795591182366,3.1402805611222435e-07,3.1402805611222435e-07,0.24048096192384763,1.1777250378638748e-09,1.1777250378638748e-09,1.1777250378638748e-10
0.03963927855711423,3.318637274549097e-07,3.318637274549097e-07,0.26052104208416826,1.1938897777188017e-09,1.1938897777188017e-09,1.1938897777188016e-10
0.040380761523046094,3.496993987975951e-07,3.496993987975951e-07,0.2805611222444889,1.2102763849928474e-09,1.2102763849928474e-09,1.2102763849928473e-10
0.04112224448897796,3.6753507014028044e-07,3.6753507014028044e-07,0.3006012024048096,1.2268879049036874e-09,1.2268879049036874e-09,1.2268879049036875e-10
0.04186372745490982,3.853707414829658e-07,3.853707414829658e-07,0.32064128256513025,1.2437274244658219e-09,1.2437274244658219e-09,1.243727424465822e-10
