fates_allom_d2bl1,fates_maintresp_leaf_ryan1991_baserate,fates_maintresp_nonleaf_baserate,fates_cnp_store_ovrflw_frac,fates_cnp_vmax_nh4,fates_cnp_vmax_no3,fates_cnp_vmax_p
0.03,1e-08,1e-08,0.0,1e-10,1e-10,1.0000000000000001e-11
0.031743486973947896,1.9034068136272548e-07,1.9034068136272548e-07,0.02004008016032064,1.0231241635532605e-10,1.0231241635532605e-10,1.0231241635532606e-11
0.03348697394789579,3.7068136272545095e-07,3.7068136272545095e-07,0.04008016032064128,1.0467830540465593e-10,1.0467830540465593e-10,1.0467830540465593e-11
0.03523046092184369,5.510220440881764e-07,5.510220440881764e-07,0.06012024048096192,1.0709890365931138e-10,1.0709890365931138e-10,1.0709890365931137e-11
0.03697394789579159,7.313627254509018e-07,7.313627254509018e-07,0.08016032064128256,1.0957547622390422e-10,1.0957547622390422e-10,1.0957547622390422e-11
0.038717434869739484,9.117034068136272e-07,9.117034068136272e-07,0.1002004008016032,1.1210931745753224e-10,1.1210931745753224e-10,1.1210931745753223e-11
0.04046092184368738,1.0920440881763526e-06,1.0920440881763526e-06,0.12024048096192383,1.1470175165026506e-10,1.1470175165026506e-10,1.1470175165026506e-11
0.04220440881763528,1.272384769539078e-06,1.272384769539078e-06,0.14028056112224446,1.173541337152713e-10,1.173541337152713e-10,1.1735413371527131e-11
0.043947895791583175,1.4527254509018034e-06,1.4527254509018034e-06,0.1603206412825651,1.2006784989695448e-10,1.2006784989695448e-10,1.2006784989695449e-11
0.04569138276553107,1.6330661322645289e-06,1.6330661322645289e-06,0.18036072144288573,1.2284431849546003e-10,1.2284431849546003e-10,1.2284431849546003e-11
0.04743486973947897,1.8134068136272543e-06,1.8134068136272543e-06,0.20040080160320636,1.2568499060793791e-10,1.2568499060793791e-10,1.2568499060793792e-11
0.049178356713426866,1.9937474949899797e-06,1.9937474949899797e-06,0.220440881763527,1.2859135088694639e-10,1.2859135088694639e-10,1.2859135088694638e-11
0.05092184368737476,2.1740881763527053e-06,2.1740881763527053e-06,0.24048096192384763,1.315649183163909e-10,1.315649183163909e-10,1.3156491831639089e-11
0.05266533066132266,2.354428857715431e-06,2.354428857715431e-06,0.26052104208416826,1.3460724700541052e-10,1.3460724700541052e-10,1.3460724700541052e-11
0.05440881763527056,2.5347695390781566e-06,2.5347695390781566e-06,0.2805611222444889,1.377199270006178e-10,1.377199270006178e-10,1.3771992700061781e-11
0.056152304609218454,2.715110220440882e-06,2.715110220440882e-06,0.3006012024048096,1.4090458511712325e-10,1.4090458511712325e-10,1.4090458511712325e-11
0.05789579158316635,2.895450901803608e-06,2.895450901803608e-06,0.32064128256513025,1.4416288578877648e-10,1.4416288578877648e-10,1.4416288578877648e-11
0.05963927855711425,3.0757915831663335e-06,3.0757915831663335e-06,0.3406813627254509,1.474965319380662e-10,1.474965319380662e-10,1.474965319380662e-11
0.061382765531062145,3.256132264529059e-06,3.256132264529059e-06,0.36072144288577157,1.5090726586614084e-10,1.5090726586614084e-10,1.5090726586614084e-11
0.06312625250501004,3.4364729458917847e-06,3.4364729458917847e-06,0.38076152304609223,1.543968701634049e-10,1.543968701634049e-10,1.543968701634049e-11
0.06486973947895794,3.6168136272545103e-06,3.6168136272545103e-06,0.4008016032064129,1.5796716864117503e-10,1.5796716864117503e-10,1.5796716864117504e-11
0.06661322645290584,3.797154308617236e-06,3.797154308617236e-06,0.42084168336673355,1.6162002728487966e-10,1.6162002728487966e-10,1.6162002728487966e-11
0.06835671342685373,3.977494989979961e-06,3.977494989979961e-06,0.4408817635270542,1.6535735522929774e-10,1.6535735522929774e-10,1.6535735522929775e-11
0.07010020040080163,4.157835671342686e-06,4.157835671342686e-06,0.4609218436873749,1.6918110575635466e-10,1.6918110575635466e-10,1.6918110575635466e-11
0.07184368737474953,4.338176352705412e-06,4.338176352705412e-06,0.48096192384769554,1.7309327731598611e-10,1.7309327731598611e-10,1.7309327731598612e-11
0.07358717434869742,4.518517034068137e-06,4.518517034068137e-06,0.5010020040080162,1.7709591457061092e-10,1.7709591457061092e-10,1.7709591457061093e-11
0.07533066132264532,4.698857715430862e-06,4.698857715430862e-06,0.5210420841683369,1.811911094637567e-10,1.811911094637567e-10,1.811911094637567e-11
0.07707414829659322,4.879198396793587e-06,4.879198396793587e-06,0.5410821643286575,1.853810023133934e-10,1.853810023133934e-10,1.853810023133934e-11
0.07881763527054111,5.059539078156312e-06,5.059539078156312e-06,0.5611222444889782,1.8966778293055573e-10,1.8966778293055573e-10,1.896677829305557e-11
