***************************************************************************
   Basal area data for ring 1 - ring 5
   documentation file:
   http://cdiac.ornl.gov/ftp/pub/FACE/ornldata/basal_area/basal_area.txt
***************************************************************************

---- ---- --------- --------- ----BASAL AREA(cm2) --------- --------- ---------

RING TREE 11MAR1997 15MAY1997 13JUN1997 21JUL1997 27AUG1997 03OCT1997 10DEC1997
1       2      52        52        52        52        52        52        52
1       3     157       157       161       168       174       175       175
1       4     103       103       103       104       105       105       105
1       5     125       125       127       131       135       136       136
1       6      70        70        70        71        72        72        72
1       7     168       169       174       180       187       187       188
1       8      76        77        78        80        82        82        82
1       9      53        53        53        53        53        53        53
1      10     124       124       126       129       133       133       133
1      11     193       193       196       201       208       209       209
1      12      53        53        54        54        55        55        55
1      13     115       115       117       121       125       125       125
1      14      89        89        90        91        91        91        92
1      15     118       118       119       122       125       125       125
1      16     114       115       117       120       124       125       125
1      17      88        88        88        90        91        91        91
1      18      79        80        80        82        84        84        84
1      19     125       125       127       131       135       135       136
1      20     102       102       104       106       109       110       110
1      21      54        54        54        54        54        54        54
1      22      65        65        65        66        66        67        67
1      23     104       104       105       108       111       111       111
1      24     105       105       107       111       114       114       114
1      26      57        57        57        57        57        57        57
1      27     107       106       107       111       116       117       117
1      28      39        39        39        39        39        39        39
1      29      89        89        91        94        97        97        98
1      30      74        74        74        76        78        78        78
1      31      86        86        87        89        92        92        92
1      32     149       148       152       158       165       166       166
1      33      52        52        52        52        52        52        52
1      34     107       107       110       115       119       120       120
1      35      85        85        86        89        91        91        91
1      36     117       117       120       125       130       131       131
1      37     128       128       129       132       136       137       137
1      38      94        93        95        99       103       104       104
1      39     124       123       125       128       131       131       132
1      40     108       108       109       110       113       113       113
1      41     121       121       123       127       132       133       133
1      42     124       124       127       132       136       137       137
1      43     132       132       133       135       137       137       138
1      44      55        56        56        56        56        55        56
1      45     119       119       120       125       130       131       131
1      46      54        54        54        55        56        56        56
1      47     124       123       126       130       133       133       133
1      48      77        77        79        82        85        85        86
1      49     109       109       112       115       118       119       119
1      50      95        95        96        98       101       101       101
1      51     120       120       121       123       127       127       128
1      52      89        89        90        92        95        95        95
1      53      46        49        49        49        49        49        49
1      54     108       108       109       110       112       112       112
1      55     104       104       106       110       115       115       115
1      56     138       139       143       148       153       153       153
1      57      60        60        60        60        61        61        61
1      58     149       149       151       154       158       159       159
1      59      61        61        61        62        63        63        63
1      60     162       162       165       169       175       176       176
1      61     110       110       110       111       112       112       112
1      62     166       166       168       173       178       179       179
1      63     120       120       121       124       128       129       129
1      64      86        86        87        90        93        93        93
