,Mean,Lower Bound,Upper Bound
1996,1.080000000000001,-0.2660807306151185,2.42608073061512
1997,1.8499999999999996,0.7278195827368532,2.972180417263146
1998,1.9000000000000012,0.9932352994176389,2.8067647005823635
1999,1.75,1.4317932188724511,2.068206781127549
2000,2.119999999999999,0.8958131950828194,3.344186804917179
2001,1.3066666666666666,0.21818658467669794,2.3951467486566353
2002,1.6333333333333337,0.33487698486069917,2.9317896818059683
2003,2.09,1.4599030057029134,2.7200969942970863
2004,3.173333333333334,1.8565274335220603,4.490139233144607
2005,2.253333333333332,0.6791492413175493,3.827517425349115
2006,,,
2007,,,
