,Mean,Lower Bound,Upper Bound
1998,6.8566666666666665,6.262631501227972,7.450701832105361
1999,7.536666666666666,5.997702368474174,9.075630964859158
2000,7.916666666666667,6.434311183734931,9.399022149598402
2001,7.306666666666667,6.130510025549318,8.482823307784015
2002,8.116666666666667,7.8857025039824,8.347630829350933
2003,8.096666666666668,7.951714567298942,8.241618766034394
2004,5.836666666666667,5.534765284681681,6.138568048651653
2005,6.45,6.327797981467844,6.572202018532156
2006,5.483333333333333,5.2740222941808055,5.692644372485861
2007,5.246666666666666,4.615098952341609,5.8782343809917235
2008,3.486666666666667,3.2040400971835807,3.769293236149753
