,0
r240913_NH4_1.0e-09_P_1.0e-10,-7.786865353409667e-06
r240913_NH4_2.0e-09_P_2.0e-10,0.0005901986151002347
r240913_NH4_3.0e-09_P_3.0e-10,0.002253739396110177
r240913_NH4_4.0e-09_P_4.0e-10,1.8634783029556274
r240913_NH4_5.0e-09_P_5.0e-10,12.724736213684082
r240913_NH4_6.0e-09_P_6.0e-10,24.20982551574707
r240913_NH4_7.0e-09_P_7.0e-10,23.522241592407227
r240913_NH4_8.0e-09_P_8.0e-10,16.578948974609375
r240913_NH4_9.0e-09_P_9.0e-10,0.7147915363311768
r240913_NH4_1.0e-08_P_1.0e-09,25.165334701538086
r240913_NH4_2.0e-08_P_2.0e-09,0.8025295734405518
r240913_NH4_3.0e-08_P_3.0e-09,0.12068244814872742
r240913_NH4_4.0e-08_P_4.0e-09,0.9964780211448669
r240913_NH4_5.0e-08_P_5.0e-09,11.928370475769043
r240913_NH4_6.0e-08_P_6.0e-09,0.12145525962114334
r240913_NH4_7.0e-08_P_7.0e-09,0.6517357230186462
r240913_NH4_8.0e-08_P_8.0e-09,0.10091445595026016
r240913_NH4_9.0e-08_P_9.0e-09,25.32208251953125
r240913_NH4_1.0e-07_P_1.0e-08,1.9625738859176636
r240913_NH4_2.0e-07_P_2.0e-08,7.461524963378906
r240913_NH4_3.0e-07_P_3.0e-08,11.740676879882812
r240913_NH4_4.0e-07_P_4.0e-08,14.266697883605957
r240913_NH4_5.0e-07_P_5.0e-08,15.93635082244873
r240913_NH4_6.0e-07_P_6.0e-08,19.269805908203125
r240913_NH4_7.0e-07_P_7.0e-08,40.167964935302734
r240913_NH4_8.0e-07_P_8.0e-08,40.266632080078125
r240913_NH4_9.0e-07_P_9.0e-08,27.68486976623535
r240913_NH4_1.0e-06_P_1.0e-07,18.63592529296875
r240913_NH4_2.0e-06_P_2.0e-07,61.66133499145508
r240913_NH4_3.0e-06_P_3.0e-07,105.07635498046875
r240913_NH4_4.0e-06_P_4.0e-07,145.72412109375
r240913_NH4_5.0e-06_P_5.0e-07,199.3451690673828
r240913_NH4_6.0e-06_P_6.0e-07,278.15234375
r240913_NH4_7.0e-06_P_7.0e-07,292.4867248535156
