,Mean,Lower Bound,Upper Bound
1996,1087.4189510223666,965.4599090810426,1209.3779929636908
1997,1318.1365403907,1197.2745918309179,1438.9984889504822
1998,1193.4883480020667,1118.1022842344703,1268.874411769663
1999,1447.3623634686335,1410.5956302992388,1484.1290966380282
2000,1540.8059523002,1478.0362692139868,1603.5756353864133
2001,1298.7232642422332,1212.307572200087,1385.1389562843794
2002,929.5679282410667,776.9526266366089,1082.1832298455247
2003,1280.3712200696334,1192.4867271694918,1368.255712969775
2004,1386.6114728444666,1260.071567524786,1513.1513781641472
2005,1235.1240544695333,1050.4428158039773,1419.8052931350894
2006,1485.1098147741334,1304.372981896598,1665.8466476516687
2007,1131.8463248439334,948.9838167161219,1314.708832971745
