,Mean,Lower Bound,Upper Bound
1998,205.16666666666663,179.79553258786666,230.5378007454666
1999,128.16666666666663,56.79187341925251,199.54145991408075
2000,201.33333333333337,146.7979217999901,255.86874486667665
2001,256.0,34.96304984610981,477.0369501538902
2002,296.83333333333337,196.94826048569624,396.71840618097053
2003,128.0,64.7122971397023,191.2877028602977
2004,158.83333333333337,116.67061942110466,200.99604724556207
2005,125.33333333333337,56.9000730638481,193.76659360281866
2006,69.83333333333337,28.063793660930415,111.60287300573633
2007,55.16666666666663,4.797749884808219,105.53558344852505
2008,60.0,20.45256013342963,99.54743986657037
