,Mean,Lower Bound,Upper Bound
1998,829.3333333333334,804.3644638265966,854.3022028400701
1999,870.3333333333334,802.9381472210366,937.7285194456301
2000,999.6666666666666,955.5066042673549,1043.8267290659785
2001,1031.0,950.8667775929775,1111.1332224070225
2002,913.6666666666666,878.5272617517029,948.8060715816304
2003,994.0,939.9969136684455,1048.0030863315546
2004,827.6666666666666,800.8069487894356,854.5263845438976
2005,752.6666666666666,684.8278053030565,820.5055280302768
2006,629.6666666666666,602.235945851412,657.0973874819213
2007,643.3333333333334,626.5769083632576,660.0897583034091
2008,527.0,487.655368854188,566.344631145812
