,Mean,Lower Bound,Upper Bound
1996,1012.9006996129334,945.4490501511219,1080.352349074745
1997,1055.6674604742666,975.2396721306635,1136.0952488178698
1998,932.6698190842667,860.9050800009348,1004.4345581675985
1999,1127.1480006536667,1111.4384588455005,1142.857542461833
2000,1206.0032183615333,1179.919118738324,1232.0873179847426
2001,1021.6370064404333,954.820146518416,1088.4538663624508
2002,661.6474993675,602.4388935272591,720.8561052077409
2003,947.9261662865,919.3399137406373,976.5124188323628
2004,1037.0950802521,973.9421652275902,1100.2479952766098
2005,902.2175763380667,822.4285039130241,982.0066487631093
2006,1129.6193809399333,1056.6712526134531,1202.5675092664135
2007,940.5005197601,868.5165327092969,1012.4845068109031
