,Mean,Lower Bound,Upper Bound
1996,8.850000000000001,7.5627419321156575,10.137258067884344
1997,10.623333333333333,9.644655086353708,11.602011580312958
1998,9.153333333333334,8.393501480589292,9.913165186077377
1999,10.746666666666666,10.491236745857758,11.002096587475574
2000,11.12,9.99828999588426,12.241710004115738
2001,9.623333333333333,8.767192119643806,10.47947454702286
2002,6.796666666666667,5.587571504526354,8.00576182880698
2003,10.856666666666667,10.337522071095153,11.375811262238182
2004,12.93,11.812279104606162,14.047720895393837
2005,10.576666666666666,9.242083918722159,11.911249414611174
2006,,,
2007,,,
