,0
Year,2003.0
r240913_NH4_1.0e-05_P_1.0e-06,0.012502193450927734
r240913_NH4_1.0e-06_P_1.0e-07,0.28483498096466064
r240913_NH4_1.0e-07_P_1.0e-08,0.0007475722813978791
r240913_NH4_1.0e-08_P_1.0e-09,0.07379437237977982
r240913_NH4_1.0e-09_P_1.0e-10,0.0005015283823013306
r240913_NH4_2.0e-06_P_2.0e-07,0.3151654005050659
r240913_NH4_2.0e-07_P_2.0e-08,0.07924312353134155
r240913_NH4_2.0e-08_P_2.0e-09,0.11914324015378952
r240913_NH4_2.0e-09_P_2.0e-10,0.0013241525739431381
r240913_NH4_3.0e-06_P_3.0e-07,-0.18052245676517487
r240913_NH4_3.0e-07_P_3.0e-08,0.09747251868247986
r240913_NH4_3.0e-08_P_3.0e-09,-0.05128991976380348
r240913_NH4_3.0e-09_P_3.0e-10,0.0009724823175929487
r240913_NH4_4.0e-06_P_4.0e-07,0.0019583357498049736
r240913_NH4_4.0e-07_P_4.0e-08,0.06164898723363876
r240913_NH4_4.0e-08_P_4.0e-09,-0.10826203972101212
r240913_NH4_4.0e-09_P_4.0e-10,0.002674547955393791
r240913_NH4_5.0e-06_P_5.0e-07,0.003140418091788888
r240913_NH4_5.0e-07_P_5.0e-08,0.009389514103531837
r240913_NH4_5.0e-08_P_5.0e-09,-0.06857544928789139
r240913_NH4_5.0e-09_P_5.0e-10,0.009576644748449326
r240913_NH4_6.0e-06_P_6.0e-07,0.021113626658916473
r240913_NH4_6.0e-07_P_6.0e-08,-0.005958315916359425
r240913_NH4_6.0e-08_P_6.0e-09,-0.11465715616941452
r240913_NH4_6.0e-09_P_6.0e-10,0.013157620094716549
r240913_NH4_7.0e-06_P_7.0e-07,0.01433236338198185
r240913_NH4_7.0e-07_P_7.0e-08,0.09304223209619522
r240913_NH4_7.0e-08_P_7.0e-09,-0.012194850482046604
r240913_NH4_7.0e-09_P_7.0e-10,0.01370401680469513
r240913_NH4_8.0e-06_P_8.0e-07,0.04535004869103432
r240913_NH4_8.0e-07_P_8.0e-08,0.06799790263175964
r240913_NH4_8.0e-08_P_8.0e-09,0.07969313114881516
r240913_NH4_8.0e-09_P_8.0e-10,0.013735681772232056
r240913_NH4_9.0e-06_P_9.0e-07,0.46721598505973816
r240913_NH4_9.0e-07_P_9.0e-08,0.07300257682800293
r240913_NH4_9.0e-08_P_9.0e-09,-0.08384894579648972
