,0
r240913_NH4_1.0e-10_P_1.0e-11,0.0005167500930838287
r240913_NH4_2.0e-10_P_2.0e-11,0.029285909608006477
r240913_NH4_3.0e-10_P_3.0e-11,0.30015018582344055
r240913_NH4_4.0e-10_P_4.0e-11,0.9040974974632263
r240913_NH4_5.0e-10_P_5.0e-11,0.3374495208263397
r240913_NH4_6.0e-10_P_6.0e-11,5.327786922454834
r240913_NH4_7.0e-10_P_7.0e-11,0.8089373707771301
r240913_NH4_8.0e-10_P_8.0e-11,6.618597030639648
r240913_NH4_9.0e-10_P_9.0e-11,6.727924823760986
r240913_NH4_1.0e-09_P_1.0e-10,7.201359272003174
r240913_NH4_2.0e-09_P_2.0e-10,9.324877738952637
r240913_NH4_3.0e-09_P_3.0e-10,8.420248985290527
r240913_NH4_4.0e-09_P_4.0e-10,9.373345375061035
r240913_NH4_5.0e-09_P_5.0e-10,9.729836463928223
r240913_NH4_6.0e-09_P_6.0e-10,9.85811710357666
r240913_NH4_7.0e-09_P_7.0e-10,9.89883041381836
r240913_NH4_8.0e-09_P_8.0e-10,9.861713409423828
r240913_NH4_9.0e-09_P_9.0e-10,9.78230094909668
r240913_NH4_1.0e-08_P_1.0e-09,9.716716766357422
r240913_NH4_2.0e-08_P_2.0e-09,9.124542236328125
r240913_NH4_3.0e-08_P_3.0e-09,8.80975341796875
r240913_NH4_4.0e-08_P_4.0e-09,8.527152061462402
r240913_NH4_5.0e-08_P_5.0e-09,8.284345626831055
r240913_NH4_6.0e-08_P_6.0e-09,8.051679611206055
r240913_NH4_7.0e-08_P_7.0e-09,7.8798065185546875
r240913_NH4_8.0e-08_P_8.0e-09,7.669741153717041
r240913_NH4_9.0e-08_P_9.0e-09,7.514810085296631
r240913_NH4_1.0e-07_P_1.0e-08,7.412906169891357
r240913_NH4_2.0e-07_P_2.0e-08,7.07697868347168
r240913_NH4_3.0e-07_P_3.0e-08,7.012876510620117
r240913_NH4_4.0e-07_P_4.0e-08,1.6352216005325317
r240913_NH4_5.0e-07_P_5.0e-08,4.546461582183838
r240913_NH4_6.0e-07_P_6.0e-08,4.2328877449035645
r240913_NH4_7.0e-07_P_7.0e-08,3.9654438495635986
r240913_NH4_8.0e-07_P_8.0e-08,3.157437562942505
r240913_NH4_9.0e-07_P_9.0e-08,2.5700013637542725
r240913_NH4_1.0e-06_P_1.0e-07,2.2245802879333496
r240914a_NH4_1.0e-10_P_1.0e-11,0.00038079245132394135
r240914a_NH4_2.0e-10_P_2.0e-11,0.03234633803367615
r240914a_NH4_3.0e-10_P_3.0e-11,0.1603708118200302
r240914a_NH4_4.0e-10_P_4.0e-11,0.5596433281898499
r240914a_NH4_5.0e-10_P_5.0e-11,6.293050289154053
r240914a_NH4_6.0e-10_P_6.0e-11,3.012038230895996
r240914a_NH4_7.0e-10_P_7.0e-11,6.959845066070557
r240914a_NH4_8.0e-10_P_8.0e-11,6.522293567657471
r240914a_NH4_9.0e-10_P_9.0e-11,7.37295389175415
