,0
r240913_NH4_1.0e-10_P_1.0e-11,4.700423687609145e-06
r240913_NH4_2.0e-10_P_2.0e-11,0.2721584439277649
r240913_NH4_3.0e-10_P_3.0e-11,0.5223922729492188
r240913_NH4_4.0e-10_P_4.0e-11,1.8259391784667969
r240913_NH4_5.0e-10_P_5.0e-11,20.743215560913086
r240913_NH4_6.0e-10_P_6.0e-11,146.8601531982422
r240913_NH4_7.0e-10_P_7.0e-11,32.642555236816406
r240913_NH4_8.0e-10_P_8.0e-11,16.16092872619629
r240913_NH4_9.0e-10_P_9.0e-11,3.2936909198760986
r240913_NH4_1.0e-09_P_1.0e-10,7.991523742675781
r240913_NH4_2.0e-09_P_2.0e-10,5.80054235458374
r240913_NH4_3.0e-09_P_3.0e-10,42.94511032104492
r240913_NH4_4.0e-09_P_4.0e-10,48.411346435546875
r240913_NH4_5.0e-09_P_5.0e-10,37.649261474609375
r240913_NH4_6.0e-09_P_6.0e-10,44.10223388671875
r240913_NH4_7.0e-09_P_7.0e-10,55.15177536010742
r240913_NH4_8.0e-09_P_8.0e-10,65.44646453857422
r240913_NH4_9.0e-09_P_9.0e-10,74.24807739257812
r240913_NH4_1.0e-08_P_1.0e-09,80.47972869873047
r240913_NH4_2.0e-08_P_2.0e-09,129.58058166503906
r240913_NH4_3.0e-08_P_3.0e-09,173.2509002685547
r240913_NH4_4.0e-08_P_4.0e-09,218.74879455566406
r240913_NH4_5.0e-08_P_5.0e-09,268.829833984375
r240913_NH4_6.0e-08_P_6.0e-09,299.625244140625
r240913_NH4_7.0e-08_P_7.0e-09,329.0137939453125
r240913_NH4_8.0e-08_P_8.0e-09,351.2880554199219
r240913_NH4_9.0e-08_P_9.0e-09,351.3780822753906
r240913_NH4_1.0e-07_P_1.0e-08,351.9356994628906
r240913_NH4_2.0e-07_P_2.0e-08,354.3721008300781
r240913_NH4_3.0e-07_P_3.0e-08,355.0260925292969
r240913_NH4_4.0e-07_P_4.0e-08,2.670171022415161
r240913_NH4_5.0e-07_P_5.0e-08,3.227605104446411
r240913_NH4_6.0e-07_P_6.0e-08,2.9327571392059326
