,Mean,Lower Bound,Upper Bound
1996,74.51825140943322,-64.85080156275546,213.8873043816219
1997,262.46907991643343,117.29249865240564,407.6456611804612
1998,260.8185289178,156.7356946651203,364.9013631704797
1999,320.21436281496676,280.23208709469293,360.1966385352406
2000,334.80273393866673,266.8291113494802,402.7763565278533
2001,277.0862578017999,167.85180993409858,386.3207056695012
2002,267.9204288735667,104.2222636750385,431.61859407209494
2003,332.4450537831334,240.02829162966435,424.86181593660245
2004,349.5163925923666,208.0927795908361,490.9400055938971
2005,332.90647813146666,131.72632008029896,534.0866361826344
2006,355.4904338342001,160.5872984439792,550.393569224421
2007,191.3458050838334,-5.174909525400949,387.86651969306774
