,0
r240913_NH4_1.0e-09_P_1.0e-10,4.418739536049543e-06
r240913_NH4_2.0e-09_P_2.0e-10,3.499117519822903e-05
r240913_NH4_3.0e-09_P_3.0e-10,0.0002198870206484571
r240913_NH4_4.0e-09_P_4.0e-10,0.020626457408070564
r240913_NH4_5.0e-09_P_5.0e-10,0.11829540878534317
r240913_NH4_6.0e-09_P_6.0e-10,-0.019991770386695862
r240913_NH4_7.0e-09_P_7.0e-10,-0.019771501421928406
r240913_NH4_8.0e-09_P_8.0e-10,0.11188206821680069
r240913_NH4_9.0e-09_P_9.0e-10,0.02652028203010559
r240913_NH4_1.0e-08_P_1.0e-09,-0.03814642131328583
r240913_NH4_2.0e-08_P_2.0e-09,0.0511535219848156
r240913_NH4_3.0e-08_P_3.0e-09,0.03212211653590202
r240913_NH4_4.0e-08_P_4.0e-09,0.09878341108560562
r240913_NH4_5.0e-08_P_5.0e-09,-0.03403754159808159
r240913_NH4_6.0e-08_P_6.0e-09,0.03402004763484001
r240913_NH4_7.0e-08_P_7.0e-09,0.08229300379753113
r240913_NH4_8.0e-08_P_8.0e-09,0.05668603256344795
r240913_NH4_9.0e-08_P_9.0e-09,-0.08116137236356735
r240913_NH4_1.0e-07_P_1.0e-08,0.15389937162399292
r240913_NH4_2.0e-07_P_2.0e-08,0.06522408872842789
r240913_NH4_3.0e-07_P_3.0e-08,0.07541552931070328
r240913_NH4_4.0e-07_P_4.0e-08,0.08353456109762192
r240913_NH4_5.0e-07_P_5.0e-08,0.06534234434366226
r240913_NH4_6.0e-07_P_6.0e-08,0.06613337993621826
r240913_NH4_7.0e-07_P_7.0e-08,-0.05460433289408684
r240913_NH4_8.0e-07_P_8.0e-08,-0.2274734228849411
r240913_NH4_9.0e-07_P_9.0e-08,-0.26678863167762756
r240913_NH4_1.0e-06_P_1.0e-07,-0.3048645257949829
r240913_NH4_2.0e-06_P_2.0e-07,-0.2868570387363434
r240913_NH4_3.0e-06_P_3.0e-07,0.040840864181518555
r240913_NH4_4.0e-06_P_4.0e-07,0.3716333210468292
r240913_NH4_5.0e-06_P_5.0e-07,0.8641877770423889
r240913_NH4_6.0e-06_P_6.0e-07,1.3384242057800293
r240913_NH4_7.0e-06_P_7.0e-07,1.3697394132614136
r240913_NH4_8.0e-06_P_8.0e-07,1.3679217100143433
r240913_NH4_9.0e-06_P_9.0e-07,1.3579171895980835
r240913_NH4_1.0e-05_P_1.0e-06,0.06164407730102539
r240914a_NH4_1.0e-09_P_1.0e-10,2.161530574085191e-06
r240914a_NH4_2.0e-09_P_2.0e-10,1.827201595006045e-05
r240914a_NH4_3.0e-09_P_3.0e-10,0.00012585414515342563
r240914a_NH4_4.0e-09_P_4.0e-10,0.0016940830973908305
r240914a_NH4_5.0e-09_P_5.0e-10,0.07864167541265488
r240914a_NH4_6.0e-09_P_6.0e-10,0.13371878862380981
r240914a_NH4_7.0e-09_P_7.0e-10,-0.020212985575199127
r240914a_NH4_8.0e-09_P_8.0e-10,-0.0033752925228327513
r240914a_NH4_1.0e-08_P_1.0e-09,-0.015529613010585308
r240914a_NH4_2.0e-08_P_2.0e-09,-0.011753964237868786
r240914a_NH4_3.0e-08_P_3.0e-09,0.0704755038022995
r240914a_NH4_4.0e-08_P_4.0e-09,0.04078551009297371
r240914a_NH4_5.0e-08_P_5.0e-09,0.018973693251609802
r240914a_NH4_6.0e-08_P_6.0e-09,0.06251709908246994
r240914a_NH4_7.0e-08_P_7.0e-09,0.03640750050544739
r240914a_NH4_8.0e-08_P_8.0e-09,0.05066883936524391
r240914a_NH4_9.0e-08_P_9.0e-09,-0.033360689878463745
r240914a_NH4_1.0e-07_P_1.0e-08,0.04249950870871544
r240914a_NH4_2.0e-07_P_2.0e-08,0.04523420333862305
r240914a_NH4_3.0e-07_P_3.0e-08,0.07156765460968018
r240914a_NH4_4.0e-07_P_4.0e-08,0.06656301021575928
r240914a_NH4_5.0e-07_P_5.0e-08,0.07359051704406738
r240914a_NH4_6.0e-07_P_6.0e-08,0.08102408796548843
r240914a_NH4_7.0e-07_P_7.0e-08,0.06935206800699234
r240914a_NH4_8.0e-07_P_8.0e-08,0.03825410082936287
r240914a_NH4_9.0e-07_P_9.0e-08,-0.006568392273038626
r240914a_NH4_1.0e-06_P_1.0e-07,-0.019848069176077843
r240914a_NH4_2.0e-06_P_2.0e-07,-0.262673020362854
r240914a_NH4_3.0e-06_P_3.0e-07,-0.22977101802825928
r240914a_NH4_4.0e-06_P_4.0e-07,-0.00721430778503418
r240914a_NH4_6.0e-06_P_6.0e-07,0.4880687892436981
r240914a_NH4_7.0e-06_P_7.0e-07,1.1356563568115234
r240914a_NH4_8.0e-06_P_8.0e-07,1.3408066034317017
r240914b_NH4_1.0e-09_P_1.0e-10,8.903641059987422e-07
r240914b_NH4_2.0e-09_P_2.0e-10,1.802133374440018e-05
r240914b_NH4_3.0e-09_P_3.0e-10,5.540265192394145e-05
r240914b_NH4_4.0e-09_P_4.0e-10,0.004309377167373896
r240914b_NH4_5.0e-09_P_5.0e-10,-0.012845546007156372
r240914b_NH4_6.0e-09_P_6.0e-10,0.09301456063985825
r240914b_NH4_7.0e-09_P_7.0e-10,-0.023349089547991753
r240914b_NH4_8.0e-09_P_8.0e-10,0.02663193643093109
r240914b_NH4_9.0e-09_P_9.0e-10,-0.005006788764148951
r240914b_NH4_1.0e-08_P_1.0e-09,-0.004650662187486887
r240914b_NH4_2.0e-08_P_2.0e-09,0.05108681321144104
r240914b_NH4_3.0e-08_P_3.0e-09,0.061698347330093384
r240914b_NH4_4.0e-08_P_4.0e-09,0.06502280384302139
r240914b_NH4_5.0e-08_P_5.0e-09,0.039483122527599335
r240914b_NH4_6.0e-08_P_6.0e-09,0.06776314228773117
r240914b_NH4_7.0e-08_P_7.0e-09,0.10087347775697708
r240914b_NH4_8.0e-08_P_8.0e-09,0.039036329835653305
r240914b_NH4_9.0e-08_P_9.0e-09,0.09839797765016556
r240914b_NH4_1.0e-07_P_1.0e-08,-0.009777302853763103
r240914b_NH4_2.0e-07_P_2.0e-08,0.11992794275283813
r240914b_NH4_3.0e-07_P_3.0e-08,0.06530948728322983
r240914b_NH4_4.0e-07_P_4.0e-08,0.07424942404031754
r240914b_NH4_5.0e-07_P_5.0e-08,0.06569119542837143
r240914b_NH4_6.0e-07_P_6.0e-08,0.05635480210185051
r240914b_NH4_7.0e-07_P_7.0e-08,0.01243321131914854
r240914b_NH4_8.0e-07_P_8.0e-08,-0.10441795736551285
r240914b_NH4_9.0e-07_P_9.0e-08,-0.14234165847301483
r240914b_NH4_1.0e-06_P_1.0e-07,-0.19789528846740723
r240914b_NH4_2.0e-06_P_2.0e-07,-0.27071893215179443
r240914b_NH4_3.0e-06_P_3.0e-07,-0.2953988313674927
r240914b_NH4_4.0e-06_P_4.0e-07,-0.3032461702823639
r240914b_NH4_5.0e-06_P_5.0e-07,-0.31606850028038025
r240914b_NH4_6.0e-06_P_6.0e-07,-0.13547702133655548
r240914b_NH4_7.0e-06_P_7.0e-07,0.4306550920009613
r240914b_NH4_8.0e-06_P_8.0e-07,1.103413701057434
r240914b_NH4_9.0e-06_P_9.0e-07,1.1555752754211426
r240914b_NH4_1.0e-05_P_1.0e-06,1.2706705331802368
r240914c_NH4_1.0e-09_P_1.0e-10,4.978455763193779e-07
r240914c_NH4_2.0e-09_P_2.0e-10,6.164199294289574e-05
r240914c_NH4_3.0e-09_P_3.0e-10,4.981910387868993e-05
r240914c_NH4_4.0e-09_P_4.0e-10,0.00012831103231292218
r240914c_NH4_5.0e-09_P_5.0e-10,0.022265294566750526
r240914c_NH4_6.0e-09_P_6.0e-10,0.005346047226339579
r240914c_NH4_7.0e-09_P_7.0e-10,-0.027989841997623444
r240914c_NH4_8.0e-09_P_8.0e-10,-0.01661871373653412
r240914c_NH4_9.0e-09_P_9.0e-10,0.01241625752300024
r240914c_NH4_1.0e-08_P_1.0e-09,0.024165429174900055
r240914c_NH4_2.0e-08_P_2.0e-09,0.13545988500118256
r240914c_NH4_3.0e-08_P_3.0e-09,0.05258795619010925
r240914c_NH4_4.0e-08_P_4.0e-09,0.045423004776239395
r240914c_NH4_5.0e-08_P_5.0e-09,-0.00175459252204746
r240914c_NH4_6.0e-08_P_6.0e-09,0.05857686325907707
r240914c_NH4_7.0e-08_P_7.0e-09,0.05869914963841438
r240914c_NH4_8.0e-08_P_8.0e-09,0.09737545996904373
r240914c_NH4_9.0e-08_P_9.0e-09,0.053789179772138596
r240914c_NH4_1.0e-07_P_1.0e-08,0.04392140731215477
r240914c_NH4_2.0e-07_P_2.0e-08,0.049268484115600586
r240914c_NH4_3.0e-07_P_3.0e-08,0.06596159934997559
r240914c_NH4_4.0e-07_P_4.0e-08,0.07651758193969727
r240914c_NH4_5.0e-07_P_5.0e-08,0.07275557518005371
r240914c_NH4_6.0e-07_P_6.0e-08,0.07495459169149399
r240914c_NH4_7.0e-07_P_7.0e-08,0.07209757715463638
r240914c_NH4_8.0e-07_P_8.0e-08,0.0588357038795948
r240914c_NH4_9.0e-07_P_9.0e-08,0.03945473954081535
r240914c_NH4_1.0e-06_P_1.0e-07,0.018839558586478233
r240914c_NH4_3.0e-06_P_3.0e-07,-0.23299066722393036
r240914c_NH4_4.0e-06_P_4.0e-07,-0.2400341033935547
r240914c_NH4_5.0e-06_P_5.0e-07,-0.2468475103378296
r240914c_NH4_6.0e-06_P_6.0e-07,-0.13037502765655518
r240914c_NH4_7.0e-06_P_7.0e-07,0.05016263201832771
r240914c_NH4_8.0e-06_P_8.0e-07,0.454248309135437
r240914c_NH4_9.0e-06_P_9.0e-07,0.4476013481616974
r240914c_NH4_1.0e-05_P_1.0e-06,0.5973103642463684
r240914d_NH4_1.0e-09_P_1.0e-10,1.2832800166506786e-05
r240914d_NH4_2.0e-09_P_2.0e-10,-0.007343026343733072
r240914d_NH4_3.0e-09_P_3.0e-10,7.586105493828654e-05
r240914d_NH4_4.0e-09_P_4.0e-10,-0.0026814702432602644
r240914d_NH4_5.0e-09_P_5.0e-10,0.027776343747973442
r240914d_NH4_6.0e-09_P_6.0e-10,0.028301483020186424
r240914d_NH4_7.0e-09_P_7.0e-10,0.07785996049642563
r240914d_NH4_8.0e-09_P_8.0e-10,-0.0265337023884058
r240914d_NH4_9.0e-09_P_9.0e-10,0.007690357510000467
r240914d_NH4_1.0e-08_P_1.0e-09,0.14604109525680542
