,Mean,Lower Bound,Upper Bound
1996,7.7700000000000005,7.376426626916912,8.16357337308309
1997,8.773333333333333,8.22426341266951,9.322403253997157
1998,7.253333333333333,6.758482064993261,7.748184601673405
1999,8.996666666666666,8.806900728966795,9.186432604366537
2000,9.0,8.50969397311475,9.49030602688525
2001,8.316666666666666,7.644497706425931,8.988835626907402
2002,5.163333333333333,4.68996479004198,5.636701876624686
2003,8.766666666666667,8.40957968691088,9.123753646422456
2004,9.756666666666666,9.060478633318077,10.452854700015255
2005,8.323333333333334,7.488501347575455,9.158165319091214
2006,,,
2007,,,
