,Year,mean,std,se
0,1996,6.7873516,,
1,1997,6.724356,,
2,1998,6.570942,,
3,1999,6.694945,,
4,2000,6.78634,,
5,2001,6.8011417,,
6,2002,6.5425506,,
7,2003,6.8140025,,
8,2004,6.886648,,
9,2005,6.8892875,,
10,2006,7.0047865,,
11,2007,6.505559,,
12,2008,6.88546,,
13,2009,6.9100714,,
14,2010,6.783494,,
15,2011,6.929014,,
16,2012,7.1605277,,
