,Year,mean,std,se
0,1996,1354.3612,411.48288,130.12231
1,1997,1353.717,349.91718,110.65353
2,1998,1298.3972,270.16913,85.43498
3,1999,1322.6937,250.5629,79.23495
4,2000,1361.0729,255.14099,80.68266
5,2001,1460.7981,281.3443,88.96888
6,2002,1188.5791,193.57764,61.214622
7,2003,1396.5475,240.48112,76.04681
8,2004,1418.8356,242.32715,76.63057
9,2005,1398.4172,223.6577,70.726776
10,2006,1459.2134,229.50328,72.57531
11,2007,1107.3496,144.47963,45.68847
