,Year,mean,std,se
0,1996,7.627542,0.86531353,0.12489725
1,1997,7.757944,0.9779702,0.14115784
2,1998,7.637921,0.95342225,0.13761465
3,1999,7.90737,0.95201534,0.13741158
4,2000,8.064322,0.9370596,0.13525291
5,2001,8.116314,0.9600445,0.13857049
6,2002,7.5823274,0.8486182,0.12248749
7,2003,8.013167,0.9076513,0.13100818
8,2004,8.1419735,0.9736929,0.14054047
9,2005,8.032075,0.9824369,0.14180255
10,2006,8.1608515,1.0116811,0.14602359
11,2007,7.212559,0.8713769,0.12577242
