,Year,mean,std,se
0,1996,7.9223127,1.02913,0.17395471
1,1997,7.469579,0.8949479,0.1512738
2,1998,7.375161,0.87744486,0.14831525
3,1999,8.49283,0.9171365,0.15502435
4,2000,8.681303,0.97732717,0.16519843
5,2001,8.439199,0.96463376,0.16305286
6,2002,7.24602,0.7153136,0.12091006
7,2003,8.973398,1.047723,0.17709751
8,2004,8.795863,0.98144555,0.16589457
9,2005,8.188656,0.88456535,0.14951883
10,2006,8.581046,0.8505621,0.14377123
11,2007,6.297167,0.6034172,0.101996124
