,Year,mean,std,se
0,1996,1030.1729,197.11716,28.451412
1,1997,1038.087,185.99591,26.846197
2,1998,1008.6556,169.83862,24.514093
3,1999,1060.1549,169.03688,24.398373
4,2000,1111.5563,169.01541,24.395273
5,2001,1187.2166,190.70483,27.525873
6,2002,985.99567,114.889565,16.58288
7,2003,1177.8654,168.79979,24.364151
8,2004,1202.1377,162.66245,23.478302
9,2005,1202.9639,147.32314,21.264263
10,2006,1267.2179,155.59242,22.457832
11,2007,930.38184,87.226875,12.590116
