,Year,mean,std,se
0,1998,10.098591,0.37950948,0.18975474
1,1999,10.06478,0.18051878,0.09025939
2,2000,10.621807,0.35370445,0.17685223
3,2001,10.086129,0.48727334,0.24363667
4,2002,10.48129,0.32596785,0.16298392
5,2003,10.848059,0.36975917,0.18487959
6,2004,11.201672,0.5611968,0.2805984
7,2005,10.76984,0.43750256,0.21875128
8,2006,9.740513,0.4304237,0.21521185
9,2007,7.9988875,0.54759514,0.27379757
10,2008,8.392826,0.33295074,0.16647537
