rownames,YEAR,co2,site,NPP,NUP
12,1998.0,ELE,ORNL,4.5,0.2650000000000001
13,1999.0,ELE,ORNL,23.5,0.33499999999999996
14,2000.0,ELE,ORNL,32.0,0.7950000000000008
15,2001.0,ELE,ORNL,206.0,2.8899999999999997
16,2002.0,ELE,ORNL,93.5,0.9199999999999999
17,2003.0,ELE,ORNL,33.0,0.13999999999999968
18,2004.0,ELE,ORNL,32.5,0.6149999999999998
19,2005.0,ELE,ORNL,9.0,0.1899999999999995
20,2006.0,ELE,ORNL,31.5,0.75
21,2007.0,ELE,ORNL,47.5,0.2100000000000004
22,2008.0,ELE,ORNL,4.0,0.27
