,Year,mean,std,se
0,1996,896.18066,269.67078,28.911741
1,1997,864.7856,257.6129,27.619003
2,1998,853.4695,228.73853,24.523344
3,1999,954.004,229.07658,24.559587
4,2000,1017.1079,256.26654,27.474657
5,2001,1045.2073,295.05685,31.633415
6,2002,850.09296,215.48657,23.102585
7,2003,1085.7303,263.79626,28.281927
8,2004,1092.6743,278.76764,29.887028
9,2005,1087.3865,286.61505,30.72836
10,2006,1148.5127,305.9201,32.798077
11,2007,834.9984,208.01549,22.301601
