,Year,mean,std,se
0,1998,10.371552,0.44488645,0.22244322
1,1999,10.494726,0.31909207,0.15954603
2,2000,10.973982,0.531838,0.265919
3,2001,10.470565,0.71845984,0.35922992
4,2002,10.764303,0.43420103,0.21710052
5,2003,11.163868,0.67588377,0.33794188
6,2004,11.524753,0.8972407,0.44862035
7,2005,11.158268,0.9133381,0.45666906
8,2006,10.583993,0.644207,0.3221035
9,2007,8.68315,0.22128215,0.11064108
10,2008,9.111723,0.4397849,0.21989246
