,Year,mean,std,se
0,1996,7.291185,1.8033607,0.19334055
1,1997,7.087598,1.6267467,0.17440554
2,1998,7.052746,1.5360494,0.16468178
3,1999,7.9295683,1.6847318,0.1806222
4,2000,8.023554,1.7014464,0.1824142
5,2001,7.824505,1.6891575,0.18109669
6,2002,6.780148,1.3566439,0.1454475
7,2003,8.240159,1.630455,0.17480312
8,2004,8.08474,1.5907831,0.17054985
9,2005,7.6107655,1.4538107,0.15586486
10,2006,7.9216685,1.5545505,0.1666653
11,2007,6.0343986,1.0278573,0.110197864
