,Year,mean,std,se
0,1998,8.843893,2.9945207,1.4972603
1,1999,8.8885565,1.9785445,0.98927224
2,2000,10.008698,1.4022859,0.70114297
3,2001,10.436276,1.8422378,0.9211189
4,2002,11.757254,3.6832345,1.8416172
5,2003,12.866257,5.4486938,2.7243469
6,2004,12.270421,3.9853308,1.9926654
7,2005,11.10972,2.192481,1.0962405
8,2006,10.705605,2.0070293,1.0035146
9,2007,9.424149,1.432469,0.7162345
10,2008,9.516235,1.4528176,0.7264088
